Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,season
1,Luka DonÄiÄ‡,19,DAL,98,496,500,0.992,72,32.2,21.2,7.8,6,1.1,0.3,0.427,0.327,0.713,4.9,0.101,2018-19
2,Trae Young,20,ATL,2,301,500,0.602,81,30.9,19.1,3.7,8.1,0.9,0.2,0.418,0.324,0.829,3.3,0.062,2018-19
3,Deandre Ayton,20,PHO,0,66,500,0.132,71,30.7,16.3,10.3,1.8,0.9,0.9,0.585,0,0.746,5.8,0.128,2018-19
4,Jaren Jackson,19,MEM,0,12,500,0.024,58,26.1,13.8,4.7,1.1,0.9,1.4,0.506,0.359,0.766,3.3,0.105,2018-19
5,Collin Sexton,20,CLE,0,10,500,0.02,82,31.8,16.7,2.9,3,0.5,0.1,0.43,0.402,0.839,-0.6,-0.011,2018-19
6,Shai Gilgeous-Alexander,20,LAC,0,7,500,0.014,82,26.5,10.8,2.8,3.3,1.2,0.5,0.476,0.367,0.8,3.3,0.074,2018-19
7,Marvin Bagley,19,SAC,0,6,500,0.012,62,25.3,14.9,7.6,1,0.5,1,0.504,0.313,0.691,3.6,0.11,2018-19
8T,Josh Okogie,20,MIN,0,1,500,0.002,74,23.7,7.7,2.9,1.2,1.2,0.4,0.386,0.279,0.728,1.2,0.034,2018-19
8T,Mitchell Robinson,20,NYK,0,1,500,0.002,66,20.6,7.3,6.4,0.6,0.8,2.4,0.694,,0.6,6.1,0.217,2018-19
1,Derrick Coleman,23,NJN,69,69,96,0.719,74,35.2,18.4,10.3,2.2,1,1.3,0.467,0.342,0.731,5.8,0.108,1990-91
2,Lionel Simmons,22,SAC,22,22,96,0.229,79,37.7,18,8.8,4,1.4,1.1,0.422,0.273,0.736,2.7,0.044,1990-91
3,Dennis Scott,22,ORL,3,3,96,0.031,82,28.5,15.7,2.9,1.6,0.8,0.3,0.425,0.374,0.75,2.6,0.054,1990-91
4,Dee Brown,22,BOS,2,2,96,0.021,82,23.7,8.7,2.2,4.2,1,0.2,0.464,0.206,0.873,3.5,0.087,1990-91
1,Larry Johnson,22,CHH,90.5,90.5,96,0.943,82,37.2,19.2,11,3.6,1,0.6,0.49,0.227,0.829,8.9,0.14,1991-92
2,Dikembe Mutombo,25,DEN,3.5,3.5,96,0.036,71,38.3,16.6,12.3,2.2,0.6,3,0.493,,0.642,4.8,0.086,1991-92
3,Billy Owens,22,GSW,2,2,96,0.021,80,31.4,14.3,8,2.4,1.1,0.8,0.525,0.111,0.654,5.6,0.107,1991-92
1,Shaquille O'Neal,20,ORL,96,96,98,0.98,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,0.163,1992-93
2,Alonzo Mourning,22,CHH,2,2,98,0.02,78,33.9,21,10.3,1,0.3,3.5,0.511,0,0.781,8.2,0.148,1992-93
1,Chris Webber,20,GSW,53,53,101,0.525,76,32.1,17.5,9.1,3.6,1.2,2.2,0.552,0,0.532,7.8,0.154,1993-94
2,Anfernee Hardaway,22,ORL,47,47,101,0.465,82,36.8,16,5.4,6.6,2.3,0.6,0.466,0.267,0.742,7.1,0.112,1993-94
3,Jamal Mashburn,21,DAL,1,1,101,0.01,79,36.7,19.2,4.5,3.4,1.1,0.2,0.406,0.284,0.699,0.9,0.014,1993-94
1T,Grant Hill,22,DET,43,43,105,0.41,70,38.3,19.9,6.4,5,1.8,0.9,0.477,0.148,0.732,5.4,0.097,1994-95
1T,Jason Kidd,21,DAL,43,43,105,0.41,79,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066,1994-95
3,Glenn Robinson,22,MIL,15,15,105,0.143,80,37,21.9,6.4,2.5,1.4,0.3,0.451,0.321,0.796,3.2,0.053,1994-95
4,Eddie Jones,23,LAL,2,2,105,0.019,64,31,14,3.9,2,2,0.6,0.46,0.37,0.722,5,0.122,1994-95
5T,Brian Grant,22,SAC,1,1,105,0.01,80,28.6,13.2,7.5,1.2,0.6,1.5,0.511,0.25,0.636,5.3,0.112,1994-95
5T,Juwan Howard,21,WSB,1,1,105,0.01,65,36.1,17,8.4,2.5,0.8,0.2,0.489,0,0.664,2.8,0.057,1994-95
1,Damon Stoudamire,22,TOR,76,76,113,0.673,70,40.9,19,4,9.3,1.4,0.3,0.426,0.395,0.797,4.3,0.072,1995-96
2,Arvydas Sabonis,31,POR,17,17,113,0.15,73,23.8,14.5,8.1,1.8,0.9,1.1,0.545,0.375,0.757,8.4,0.233,1995-96
3,Joe Smith,20,GSW,15,15,113,0.133,82,34.4,15.3,8.7,1,1,1.6,0.458,0.357,0.773,6.8,0.116,1995-96
4T,Michael Finley,22,PHO,2,2,113,0.018,82,39.2,15,4.6,3.5,1,0.4,0.476,0.328,0.749,6.3,0.095,1995-96
4T,Jerry Stackhouse,21,PHI,2,2,113,0.018,72,37.5,19.2,3.7,3.9,1.1,1.1,0.414,0.318,0.747,1.2,0.021,1995-96
6,Kevin Garnett,19,MIN,1,1,113,0.009,80,28.7,10.4,6.3,1.8,1.1,1.6,0.491,0.286,0.705,4.4,0.092,1995-96
1,Allen Iverson,21,PHI,44,44,115,0.383,76,40.1,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,4.1,0.065,1996-97
2,Stephon Marbury,19,MIN,35,35,115,0.304,67,34.7,15.8,2.7,7.8,1,0.3,0.408,0.354,0.727,3.7,0.077,1996-97
3,Shareef Abdur-Rahim,20,VAN,25,25,115,0.217,80,35,18.7,6.9,2.2,1,1,0.453,0.259,0.746,2.9,0.049,1996-97
4,Antoine Walker,20,BOS,6,6,115,0.052,82,36.2,17.5,9,3.2,1.3,0.6,0.425,0.327,0.631,1.7,0.027,1996-97
5,Kerry Kittles,22,NJN,5,5,115,0.043,82,36.7,16.4,3.9,3,1.9,0.4,0.426,0.377,0.771,6.9,0.11,1996-97
1,Tim Duncan,21,SAS,113,113,116,0.974,82,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0,0.662,12.8,0.192,1997-98
2,Keith Van Horn,22,NJN,3,3,116,0.026,62,37.5,19.7,6.6,1.7,1,0.4,0.426,0.308,0.846,4.8,0.098,1997-98
1,Vince Carter,22,TOR,113,113,118,0.958,50,35.2,18.3,5.7,3,1.1,1.5,0.45,0.288,0.761,5,0.136,1998-99
2,Jason Williams,23,SAC,3,3,118,0.025,50,36.1,12.8,3.1,6,1.9,0,0.374,0.31,0.752,2.1,0.055,1998-99
3,Paul Pierce,21,BOS,2,2,118,0.017,48,34,16.5,6.4,2.4,1.7,1,0.439,0.412,0.713,4.9,0.144,1998-99
1T,Elton Brand,20,CHI,58,58,121,0.479,81,37,20.1,10,1.9,0.8,1.6,0.482,0,0.685,7.5,0.121,1999-00
1T,Steve Francis,22,HOU,58,58,121,0.479,77,36.1,18,5.3,6.6,1.5,0.4,0.445,0.345,0.786,6.4,0.111,1999-00
3,Lamar Odom,20,LAC,3,3,121,0.025,76,36.4,16.6,7.8,4.2,1.2,1.3,0.438,0.36,0.719,3.2,0.055,1999-00
4,Andre Miller,23,CLE,2,2,121,0.017,82,25.5,11.1,3.4,5.8,1,0.2,0.449,0.204,0.774,5.3,0.122,1999-00
